id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
36907263,百米。,,https://neodb.social/m/item/movie/2026/01/12/3645631a-0b81-4262-9601-58e37875910c.webp,2025-06-09(安纳西国际动画电影节),https://movie.douban.com/subject/36907263/,7.9,"剧情,动画,运动",4,结果往往是虚无的，意义只存在于那个全情投入的瞬间。,,2026-01-10 23:51:18,2025 / 日本 / 剧情 动画 运动 / 岩井泽健治 / 松坂桃李 染谷将太
36782453,长安二十四计,,https://neodb.social/m/item/doubanmovie/2025/12/15/4263708f-86b0-4975-9cd3-a1f1fae0949f.jpg,2025-12-12(中国大陆),https://movie.douban.com/subject/36782453/,6.9,"悬疑,古装",3,一盘散沙一样，太乱太散。,,2026-01-10 16:04:40,2025 / 中国大陆 / 悬疑 古装 / 林峰 李磊 / 成毅 刘奕君
36778966,都是她的错,,https://neodb.social/m/item/doubanmovie/2025/11/10/f90738d8-e072-4fd1-bb5a-221d6e26ea70.jpg,2025-11-06(美国),https://movie.douban.com/subject/36778966/,9.1,"剧情,悬疑",5,都是他的错。,,2025-12-23 21:27:14,2025 / 美国 澳大利亚 / 剧情 悬疑 / 明基·斯皮罗 / 莎拉·斯努克 达科塔·范宁
36809864,南京照相馆,,https://neodb.social/m/item/fedi/2025/07/22/5e7a338f-0988-4fb2-9e41-ff98c50eea56.jpg,2025-07-25(中国大陆),https://movie.douban.com/subject/36809864/,8.8,"剧情,历史,战争",4,巧于 12·13 公祭日观影，铭记历史，吾辈自强。,,2025-12-13 23:49:11,2025 / 中国大陆 / 剧情 历史 战争 / 申奥 / 刘昊然 王传君
36438475,浪浪山小妖怪,,https://neodb.social/m/item/doubanmovie/2025/08/07/09dda457-f038-4c8e-874a-e1c5e96cce07.jpg,2025-08-02(中国大陆),https://movie.douban.com/subject/36438475/,8.5,"剧情,喜剧,动画",3,,,2025-11-27 23:18:12,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 於水 / 陈子平 路扬
36448279,罗小黑战记2,,https://neodb.social/m/item/movie/2025/11/26/c7d793db-bc70-4de8-adfc-8d0b5317f201.webp,2025-07-18(中国大陆),https://movie.douban.com/subject/36448279/,8.7,"动画,奇幻,冒险",4,,,2025-11-15 00:01:31,2025 / 中国大陆 / 动画 奇幻 冒险 / 木头 顾杰 / 山新 刘明月
36185502,长安的荔枝,,https://neodb.social/m/item/imdb/2025/07/19/277c040f-ec7f-42d9-a223-b69a39aa4fce.jpg,2025-07-18(中国大陆),https://movie.douban.com/subject/36185502/,7.5,"剧情,喜剧,古装",3,照着现代牛马复刻的。,,2025-11-10 09:02:26,2025 / 中国大陆 / 剧情 喜剧 古装 / 大鹏 / 大鹏 白客
37007685,窗外是蓝星,,https://neodb.social/m/item/doubanmovie/2025/09/07/dd63515c-105b-49e4-9b08-ed050504f583.jpg,2025-09-05(中国大陆),https://movie.douban.com/subject/37007685/,8.7,纪录片,5,带娃去看的。小朋友抱着爆米花，边吃边看边问“什么”、“为什么”…,,2025-09-21 15:27:47,2025 / 中国大陆 / 纪录片 / 朱翌冉 / 翟志刚 王亚平
36721436,扫毒风暴,,https://neodb.social/m/item/doubanmovie/2025/07/10/2e20da4a-1b38-40f7-a333-4b7fdb86cb50.jpg,2025-07-12(中国大陆),https://movie.douban.com/subject/36721436/,7.5,"剧情,犯罪",3,不喜欢段奕宏在这部的表演，秦日天还是一如既往稳定发挥。,,2025-08-26 19:29:41,2025 / 中国大陆 / 剧情 犯罪 / 五百 蔺水净 / 段奕宏 秦昊
35689244,F1：狂飙飞车,,https://neodb.social/m/item/movie/2026/02/14/67fa96f0-1daf-4bd0-b358-ac7755b73d74.jpeg,2025-06-27(美国/中国大陆),https://movie.douban.com/subject/35689244/,8.7,"剧情,动作,运动",5,为影院而生的爽片，燃。,,2025-07-19 23:10:31,2025 / 美国 / 剧情 动作 运动 / 约瑟夫·科辛斯基 / 布拉德·皮特 戴姆森·伊德瑞斯
35883131,雄狮少年2,,https://neodb.social/m/item/doubanmovie/2024/12/14/f54a53b9-77dd-4f10-9de5-0453470d388c.jpg,2024-12-14(中国大陆),https://movie.douban.com/subject/35883131/,8.5,"喜剧,动作,动画",3,看过，我觉得一般。其他你们去吵。,,2025-06-22 11:00:42,2024 / 中国大陆 / 喜剧 动作 动画 / 孙海鹏 / 李昕 郭皓
36512371,大风杀,,https://neodb.social/m/item/doubanmovie/2025/06/19/6ec2ddf5-353b-4c2b-b31b-7466f12369bf.jpg,2025-05-01(中国大陆),https://movie.douban.com/subject/36512371/,6.7,"剧情,悬疑,犯罪",3,可能影片有些什么内涵吧，我GET不到。,,2025-06-21 17:04:35,2025 / 中国大陆 / 剧情 悬疑 犯罪 / 张琪 / 白客 辛柏青
4922787,后宫·甄嬛传,,https://neodb.social/m/item/tmdb_tvseason/2023/06/01/74a7e6bb-bb62-492c-90ff-b495e7dc9cc9.jpg,2011-11-17(中国大陆),https://movie.douban.com/subject/4922787/,9.4,"剧情,古装",5,说剧荒的时候很多人推荐看，我嫌76集太长一直不敢点开，这次一周时间刷完了。,,2025-06-21 17:03:05,2011 / 中国大陆 / 剧情 古装 / 郑晓龙 / 孙俪 陈建斌
35935299,彩排 第一季,,https://neodb.social/m/movie/2022/07/16c340826c-62d3-4171-9464-5f5c99a6dc87.jpg,2022-07-15(美国),https://movie.douban.com/subject/35935299/,8.7,"喜剧,纪录片",2,看了一集，不是我的菜，弃。,,2025-06-07 17:40:13,2022 / 美国 / 喜剧 纪录片 / 内森·菲尔德 / 内森·菲尔德 吉吉·布格多夫
36323224,豺狼的日子 第一季,,https://neodb.social/m/item/tmdb_tvseason/2025/04/09/a37673a8-c0a5-4e5a-a144-d8abc94b791a.jpg,2024-11-07(美国),https://movie.douban.com/subject/36323224/,8.8,"剧情,动作,惊悚",5,爽。干两票都没收到尾款，太难了。,,2025-06-05 00:14:35,2024 / 英国 美国 / 剧情 动作 惊悚 犯罪 / 布莱恩·柯克 安东尼·菲利普森 保罗·威尔姆斯赫斯特 阿努·梅农 / 埃迪·雷德梅恩 拉什纳·林奇
1291936,攻壳机动队,,https://neodb.social/m/item/movie/2026/03/10/6ee5e6d5-6012-466d-90b8-2b081df6a13c.jpeg,2025-05-10(中国大陆),https://movie.douban.com/subject/1291936/,9,"动作,科幻,动画",5,意识与存在,,2025-05-22 23:24:45,1995 / 日本 / 动作 科幻 动画 / 押井守 / 田中敦子 大塚明夫
36053256,苦尽柑来遇见你,,https://neodb.social/m/item/tmdb_tvseason/2025/10/20/39bdc2e3-e74c-4d1a-b09f-57fb1ee8ed52.jpg,2025-03-07(韩国),https://movie.douban.com/subject/36053256/,9.4,"剧情,爱情,历史",5,太好哭了。,,2025-05-22 21:52:56,2025 / 韩国 / 剧情 爱情 历史 / 金湲锡 / 李知恩 朴宝剑
24750126,荒蛮故事,,https://neodb.social/m/movie/2021/09/15f256c6b1-f219-480e-8f70-1e90706db250.jpg,2025-04-11(中国大陆),https://movie.douban.com/subject/24750126/,8.7,"剧情,喜剧,犯罪",4,不服就干，谁也别怂。,,2025-04-12 00:33:15,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪 / 达米安·斯兹弗隆 / 达里奥·格兰迪内蒂 玛丽娅·玛努尔
36305412,沙尘暴,,https://neodb.social/m/item/doubanmovie/2025/03/31/00165408-cfb5-434d-9f73-59aecabf853b.jpg,2025-03-28(中国大陆),https://movie.douban.com/subject/36305412/,8.1,"剧情,悬疑,犯罪",4,人性的恶之花，每个人身上都有，只是不知道什么时候被激活，没有碰到事情，谁都不知道什么时候绽放。,,2025-04-11 19:37:19,2025 / 中国大陆 / 剧情 悬疑 犯罪 / 谭嘉言 / 段奕宏 王锵
35633163,莲花楼,,https://neodb.social/m/item/doubanmovie/2024/03/18/d51829d6-38e9-4380-a5dd-390687dfa376.webp,2023-07-23(中国大陆),https://movie.douban.com/subject/35633163/,8.5,"剧情,悬疑,武侠",5,2023年的“老剧”，我到2025年才看到。太上头了，还通宵看了一晚上。五星好评，准备二刷。,,2025-02-21 22:21:11,2023 / 中国大陆 / 剧情 悬疑 武侠 古装 / 郭虎 任海涛 / 成毅 曾舜晞
26925611,你想活出怎样的人生,,https://neodb.social/m/item/movie/2024/09/18/6bfa35dc-2c7c-4dea-b4d5-7bdf76d6cd8c.jpg,2024-04-03(中国大陆),https://movie.douban.com/subject/26925611/,7.5,"动画,奇幻,冒险",4,有太多隐喻，原谅我没看懂。感动于火美知道了结局，也依然义无反顾地选择。,,2025-02-12 15:19:56,2023 / 日本 / 动画 奇幻 冒险 / 宫崎骏 / 山时聪真 菅田将晖
1907464,集结号,,https://neodb.social/m/movie/2021/09/164e90e565-0c74-439f-8c1d-7becfd41d472.jpg,2007-12-20(中国大陆),https://movie.douban.com/subject/1907464/,8.2,"剧情,传记,历史",4,为牺牲的全连战友正名。,,2025-02-10 16:00:29,2007 / 中国大陆 中国香港 / 剧情 传记 历史 战争 / 冯小刚 / 张涵予 邓超
36624248,落凡尘,,https://neodb.social/m/item/doubanmovie/2024/07/07/07f9954b-4119-4b5a-aaf4-558193f8deee.webp,2024-07-12(中国大陆),https://movie.douban.com/subject/36624248/,7.7,"剧情,动画,奇幻",3,牛郎织女故事衍生，画风尚可，剧情一般。,,2025-02-10 15:56:15,2024 / 中国大陆 / 剧情 动画 奇幻 / 钟鼎 / 李昕 刘校妤
34780991,哪吒之魔童闹海,,https://neodb.social/m/item/doubanmovie/2025/02/02/d801edae-d1f3-499d-8a73-123ce9669780.jpg,2025-01-29(中国大陆),https://movie.douban.com/subject/34780991/,8.4,"剧情,喜剧,动画",5,,,2025-02-03 19:51:17,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫
36328210,姥姥的外孙,,https://neodb.social/m/item/doubanmovie/2024/05/16/a472192d-ec7b-45a7-9b78-f2e9436663e0.webp,2024-08-23(中国大陆),https://movie.douban.com/subject/36328210/,8.8,剧情,5,观众可以自行选择对号入座，或者自己在看的同时将现实中的某某代入某个角色，非常现实的塑造，毫无违和感。,,2025-01-06 09:22:53,2024 / 泰国 / 剧情 / 帕特·波尼蒂帕特 / 普提蓬·阿萨拉塔纳功 乌萨·萨梅坎姆
30412658,里斯本丸沉没,,https://neodb.social/m/item/doubanmovie/2024/09/13/813e5d01-7ee7-4661-ad0f-25e7e887157d.jpg,2024-09-06(中国大陆),https://movie.douban.com/subject/30412658/,9.3,纪录片,4,,,2024-12-04 23:23:38,2023 / 中国大陆 / 纪录片 / 方励 / 方励 托尼·班纳姆
35376457,爱情神话,,https://neodb.social/m/movie/2021/12/09b8710cc9-e7c6-4e56-bd42-e4b5ffb08edf.jpg,2021-12-24(中国大陆),https://movie.douban.com/subject/35376457/,8.1,"剧情,喜剧,爱情",3,,,2024-12-01 00:20:36,2021 / 中国大陆 / 剧情 喜剧 爱情 / 邵艺辉 / 徐峥 马伊琍
36154853,好东西,,https://neodb.social/m/item/doubanmovie/2024/12/05/19c42b7d-d172-4959-be40-3dd69006131f.jpg,2024-11-22(中国大陆),https://movie.douban.com/subject/36154853/,8.9,"剧情,爱情",5,生日当天想一个人去看场电影，今晚。,,2024-11-30 22:26:11,2024 / 中国大陆 / 剧情 爱情 / 邵艺辉 / 宋佳 钟楚曦
35902857,完美的日子,,https://neodb.social/m/item/movie/2023/05/31/0904d82a-cd0e-4526-91cb-0c7d98d66d94.jpg,2024-11-15(中国大陆),https://movie.douban.com/subject/35902857/,8.5,剧情,3,看时期待后面的剧情，看后略显无聊。,,2024-11-29 11:41:13,2023 / 日本 德国 / 剧情 / 维姆·文德斯 / 役所广司 柄本时生
36587974,出走的决心,,https://neodb.social/m/item/movie/2024/09/16/3cedca9b-24fb-4845-83e4-b81ca7b0eb13.jpg,2024-09-15(中国大陆),https://movie.douban.com/subject/36587974/,8.8,"剧情,家庭",5,愿所有她都有同样决心。,,2024-11-23 22:23:14,2024 / 中国大陆 / 剧情 家庭 / 尹丽川  / 咏梅 姜武
36689857,荒野机器人,,https://neodb.social/m/item/tmdb_movie/2024/03/08/faa68cbe-ed3c-4740-a855-b89430864d69.jpg,2024-09-20(中国大陆),https://movie.douban.com/subject/36689857/,8.2,"科幻,动画,冒险",4,爱是联结万物的主题。,,2024-11-12 12:58:42,2024 / 美国 / 科幻 动画 冒险 / 克里斯·桑德斯 / 露皮塔·尼永奥 佩德罗·帕斯卡
34434445,投行风云 第一季,,https://neodb.social/m/movie/2021/10/256d8c79ba-ff86-427b-b07f-58a2e08eb0ad.jpg,2020-10-11(伦敦电影节),https://movie.douban.com/subject/34434445/,7.1,剧情,3,,尺度真大，贵圈这么乱的吗，怪不得金融圈的瓜那么多。,2024-11-08 14:10:14,2020 / 美国 英国 / 剧情 / 莉娜·邓纳姆 汀治·克里希南 玛丽·奈伊 埃德·利力 / 玛瑞萨·阿贝拉 米哈拉·赫罗德
36208094,第二十条,,https://neodb.social/m/item/doubanmovie/2024/02/02/78cc04a6-520d-4ebd-90da-987d241d749e.webp,2024-02-10(中国大陆),https://movie.douban.com/subject/36208094/,7.5,"剧情,喜剧,家庭",2,这是你们公检法该干的正事呀。,,2024-10-26 22:30:53,2024 / 中国大陆 / 剧情 喜剧 家庭 / 张艺谋 / 雷佳音 马丽
36081094,热辣滚烫,,https://neodb.social/m/item/doubanmovie/2024/02/10/da59ef1a-2e66-4517-8ed3-23b72d045f07.webp,2024-02-10(中国大陆),https://movie.douban.com/subject/36081094/,7.5,"剧情,喜剧,运动",4,能瘦一百多斤，是个狠人。成为更好的自己，加油。,,2024-10-20 22:33:18,2024 / 中国大陆 / 剧情 喜剧 运动 / 贾玲 / 贾玲 雷佳音
36774001,逆行人生,,https://neodb.social/m/item/doubanmovie/2024/08/01/f8e50d81-2be6-4af9-b8b8-99ceaa883a58.jpg,2024-08-09(中国大陆),https://movie.douban.com/subject/36774001/,6.6,剧情,3,高志垒说“我没本事”，同时对他爸说“你有本事别生病啊”，对女儿说“你上什么国际学校啊”的时候，我完全代入了，当我遇此相同遭遇时，表现肯定一模一样。,,2024-10-19 22:41:53,2024 / 中国大陆 / 剧情 / 徐峥 / 徐峥 辛芷蕾
36653918,抓娃娃,,https://neodb.social/m/item/doubanmovie/2024/07/01/f929217a-3c36-4a6e-8885-64fc07476424.webp,2024-07-16(中国大陆),https://movie.douban.com/subject/36653918/,7.1,喜剧,3,父母口口声声说为了孩子，其实都是为了自己...的家业。,,2024-10-18 08:42:17,2024 / 中国大陆 / 喜剧 / 闫非 彭大魔 / 沈腾 马丽
36934908,因果报应,,https://neodb.social/m/item/doubanmovie/2024/08/09/d546187f-bf96-4341-a492-99bc987de142.jpg,2024-11-29(中国大陆),https://movie.douban.com/subject/36934908/,8.7,"动作,悬疑,犯罪",3,故事很简单，只是几条线交织，剪辑时间线有一些误导，拎清之后脉络挺清晰的。,,2024-09-17 05:19:31,2024 / 印度 / 动作 悬疑 犯罪 / 尼蒂兰·萨米纳坦 / 维杰·西图帕提 阿努拉格·卡施亚普
26816104,从21世纪安全撤离,,https://neodb.social/m/item/doubanmovie/2024/09/19/a4002509-b3ca-4936-b5ac-8134483f87c9.jpg,2024-08-02(中国大陆),https://movie.douban.com/subject/26816104/,7.3,"喜剧,科幻",1,难看，伪科幻、硬玩梗、全是特效。,,2024-09-14 06:17:41,2024 / 中国大陆 / 喜剧 科幻 / 李阳 / 张若昀 钟楚曦
25752323,风筝,,https://neodb.social/m/movie/2021/09/16de153056-b294-4fd6-a24b-48b88dda65cc.jpg,2017-12-17(中国大陆),https://movie.douban.com/subject/25752323/,8.8,"剧情,悬疑",5,看的51集未删减版本。一边是愚，一边是义。,,2024-08-01 23:04:11,2017 / 中国大陆 / 剧情 悬疑 / 柳云龙 / 柳云龙 罗海琼
35956190,走走停停,,https://neodb.social/m/item/doubanmovie/2024/06/07/2780d068-b874-4cbf-8d74-fce591d7d886.webp,2024-06-08(中国大陆),https://movie.douban.com/subject/35956190/,8,"剧情,喜剧,家庭",2,不喜欢。,,2024-07-14 23:21:27,2024 / 中国大陆 / 剧情 喜剧 家庭 / 龙飞 / 胡歌 高圆圆
35656028,天行健,,https://neodb.social/m/movie/2022/07/113facb3a7-e45f-486c-a259-d28fd0a203e8.jpg,2024-05-08(中国大陆),https://movie.douban.com/subject/35656028/,8.8,剧情,5,好剧，但好像热度不太高,,2024-07-12 14:12:27,2024 / 中国大陆 / 剧情 / 楼健 卫立洲 / 秦俊杰 刘宇宁
36149032,我们一起摇太阳,,https://neodb.social/m/item/imdb/2024/04/23/4103b6fb-82eb-4bbd-afdd-6009608982ea.jpg,2024-02-10(中国大陆点映),https://movie.douban.com/subject/36149032/,8,"剧情,爱情,家庭",5,哭哭笑笑，值得一看。,,2024-05-25 01:01:47,2024 / 中国大陆 中国香港 / 剧情 爱情 家庭 / 韩延 / 彭昱畅 李庚希
36245596,我的阿勒泰,,https://neodb.social/m/item/doubanmovie/2024/06/12/f6cf267d-6dd7-415e-8100-929f44b1e1c4.webp,2024-05-07(中国大陆),https://movie.douban.com/subject/36245596/,8.9,剧情,5,阖家团圆，撒花🎉,,2024-05-16 22:36:32,2024 / 中国大陆 / 剧情 / 滕丛丛 / 马伊琍 周依然
35575567,沙丘2,,https://neodb.social/m/item/doubanmovie/2024/03/09/31bfde12-4660-40cd-865c-47964fcf1c48.webp,2024-03-08(中国大陆),https://movie.douban.com/subject/35575567/,8.1,"剧情,动作,科幻",3,场面是大，但剧情是真拖沓，这么个简简单单的故事整快三小时。明显不如第一部。,,2024-04-18 23:59:44,2024 / 美国 加拿大 / 剧情 动作 科幻 冒险 / 丹尼斯·维伦纽瓦 / 提莫西·查拉梅 赞达亚
35593344,奥本海默,,https://neodb.social/m/item/tmdb_movie/2025/01/20/c50f391f-f017-4478-ae8c-ff4cd460e2c2.jpg,2023-08-30(中国大陆),https://movie.douban.com/subject/35593344/,8.8,"剧情,传记,历史",4,,,2024-03-19 00:16:52,2023 / 美国 英国 / 剧情 传记 历史 / 克里斯托弗·诺兰 / 基里安·墨菲 艾米莉·布朗特
3001114,沙丘,,https://neodb.social/m/movie/2021/09/15f62c4093-b3be-4829-87e9-320449e3a5f9.jpg,2021-10-22(美国/中国大陆),https://movie.douban.com/subject/3001114/,7.7,"剧情,科幻,冒险",5,,,2024-03-10 21:20:06,2021 / 美国 / 剧情 科幻 冒险 / 丹尼斯·维伦纽瓦 / 提莫西·查拉梅 丽贝卡·弗格森
30391186,蜘蛛侠：纵横宇宙,,https://neodb.social/m/item/tmdb_movie/2025/01/20/7a48ff6e-aae2-458e-9b35-523ece2badfb.jpg,2023-06-02(美国/中国大陆),https://movie.douban.com/subject/30391186/,8.5,"喜剧,动作,科幻",2,看得犯困，比平行宇宙那部差很多。,,2024-03-02 22:45:37,2023 / 美国 / 喜剧 动作 科幻 动画 奇幻 冒险 / 乔伊姆·多斯·桑托斯 凯普·鲍尔斯 贾斯汀·汤普森 / 沙梅克·摩尔 海莉·斯坦菲尔德
36151692,周处除三害,,https://neodb.social/m/item/movie/2024/09/20/1b386931-c574-431d-b009-ce1d5fe6ab4c.jpg,2024-03-01(中国大陆),https://movie.douban.com/subject/36151692/,8.1,"动作,犯罪",4,灵修院那段返回来干掉被邪教洗脑群众，很解气，一枪一个，这一段在国内院线上映的版本肯定会被剪掉吧。,,2024-03-01 23:08:22,2023 / 中国台湾 / 动作 犯罪 / 黄精甫 / 阮经天 袁富华
35712804,首尔之春,,https://neodb.social/m/item/doubanmovie/2024/05/05/ff4458fb-b949-416c-833f-def4a33e1a74.webp,2023-11-22(韩国),https://movie.douban.com/subject/35712804/,8.8,剧情,5,不了解韩国历史，我以为片名叫《首尔之春》，怎么着也不至于叛军获胜吧，紧张刺激，一直到最后只剩首都警备司令官单枪匹马，我都还期待着局势反转。,,2024-02-24 00:19:30,2023 / 韩国 / 剧情 / 金性洙 / 黄政民 郑雨盛
35208463,三大队,,https://neodb.social/m/item/doubanmovie/2023/02/11/279d76f8-a2a0-4bca-8893-0e040c0f673e.jpg,2023-12-15(中国大陆),https://movie.douban.com/subject/35208463/,7.6,"剧情,犯罪",2,,,2024-02-17 21:42:45,2023 / 中国大陆 / 剧情 犯罪 / 戴墨 / 张译 李晨
36369452,飞驰人生2,,https://neodb.social/m/item/doubanmovie/2024/01/20/fabd1cf7-85e0-4ffb-988d-6a28d1fba7fa.webp,2024-02-10(中国大陆),https://movie.douban.com/subject/36369452/,7.6,"剧情,喜剧,运动",5,,,2024-02-14 08:16:40,2024 / 中国大陆 / 剧情 喜剧 运动 / 韩寒 / 沈腾 范丞丞
35725869,年会不能停！,,https://neodb.social/m/item/doubanmovie/2023/09/11/a3533d6f-32a0-4786-9d4a-cd772c7927df.jpg,2023-12-29(中国大陆),https://movie.douban.com/subject/35725869/,8.1,"剧情,喜剧",4,,,2024-02-13 21:26:10,2023 / 中国大陆 / 剧情 喜剧 / 董润年 / 大鹏 白客
35206436,超异能族,,https://neodb.social/m/item/doubanmovie/2026/04/29/223d08cd-a6c2-4414-be2e-a3ef6e7bd4d2.webp,2023-08-09(韩国),https://movie.douban.com/subject/35206436/,8.9,"动作,爱情,悬疑",5,明明就叫“超爱能族”。异能只是外壳，异能之下是爱情和亲情。,,2024-01-22 17:27:41,2023 / 韩国 / 动作 爱情 悬疑 奇幻 / 朴仁载 朴允书 / 柳承龙 韩孝周
34885342,人生切割术 第一季,,https://neodb.social/m/item/tmdb_tvseason/2025/02/28/88a56af7-da63-4de1-adcb-c2722d1588ac.jpg,2022-02-18(美国),https://movie.douban.com/subject/34885342/,9,"剧情,科幻,悬疑",5,期待下一季,,2024-01-18 21:47:17,2022 / 美国 / 剧情 科幻 悬疑 惊悚 / 本·斯蒂勒 伊费·麦卡德尔 / 亚当·斯科特 扎克·切利
35524249,蓝眼武士 第一季,,https://neodb.social/m/item/tmdb_tvseason/2023/11/05/98acf4b0-f79d-47d8-abf0-548ef360c728.jpg,2023-11-03(美国),https://movie.douban.com/subject/35524249/,8.7,"剧情,动作,动画",2,瞧你们吹的，3分，不能再多了。若是砍死完结的话可以再加一分，非要第二季圈钱。,,2024-01-13 21:00:23,2023 / 美国 法国 加拿大 / 剧情 动作 动画 冒险 / 厄尔·A·希伯特 吴怡君 瑞安·奥洛林 迈克尔·格林 孙诺 阿兰·泰勒 艾伦·万 / 玛雅·厄斯金 田川洋行
25934014,爱乐之城,,https://neodb.social/m/item/imdb/2026/04/23/a4954ec4-6ae0-4137-843b-c9cca02cd0ed.jpg,2017-02-14(中国大陆),https://movie.douban.com/subject/25934014/,8.4,"剧情,爱情,歌舞",,结尾那段蒙太奇闪回太棒了。,爱情,2023-12-26 16:11:02,2016 / 美国 / 剧情 爱情 歌舞 / 达米恩·查泽雷 / 瑞恩·高斯林 艾玛·斯通
30267255,疼痛难免,,https://neodb.social/m/movie/2022/02/132ed0f4e4-80b7-484e-856d-7b41cbe6a2e8.jpg,2022-02-08(英国),https://movie.douban.com/subject/30267255/,9.3,"剧情,喜剧,同性",4,,,2023-12-20 00:32:24,2022 / 英国 / 剧情 喜剧 同性 / 露西·福布斯 汤姆·金斯利 / 本·卫肖 安比卡·茂德
